organism,scientificName,originalKey,genome,taxId,db
Megabat,Pteropus vampyrus,,Megabat,132908,pteVam1
Rhesus,Macaca mulatta,,Rhesus,9544,rheMac10
Rhesus,Macaca mulatta,,Rhesus,9544,rheMac2
Rhesus,Macaca mulatta,,Rhesus,9544,rheMac3
Rhesus,Macaca mulatta,,Rhesus,9544,rheMac8
Golden snub-nosed monkey,Rhinopithecus roxellana,,Golden snub-nosed monkey,61622,rhiRox1
Rat,Rattus norvegicus,,Rat,10116,rn3
Rat,Rattus norvegicus,,Rat,10116,rn4
Rat,Rattus norvegicus,,Rat,10116,rn5
Rat,Rattus norvegicus,,Rat,10116,rn6
Rat,Rattus norvegicus,,Rat,10116,rn7
S. cerevisiae,Saccharomyces cerevisiae,,S. cerevisiae,4932,sacCer1
S. cerevisiae,Saccharomyces cerevisiae,,S. cerevisiae,4932,sacCer2
S. cerevisiae,Saccharomyces cerevisiae,,S. cerevisiae,559292,sacCer3
Squirrel monkey,Saimiri boliviensis,,Squirrel monkey,39432,saiBol1
Tasmanian devil,Sarcophilus harrisii,,Tasmanian devil,9305,sarHar1
Shrew,Sorex araneus,,Shrew,42254,sorAra1
Shrew,Sorex araneus,,Shrew,42254,sorAra2
Squirrel,Spermophilus tridecemlineatus,,Squirrel,43179,speTri2
S. purpuratus,Strongylocentrotus purpuratus,,S. purpuratus,7668,strPur1
S. purpuratus,Strongylocentrotus purpuratus,,S. purpuratus,7668,strPur2
Pig,Sus scrofa,,Pig,9823,susScr11
Pig,Sus scrofa,,Pig,9823,susScr2
Pig,Sus scrofa,,Pig,9823,susScr3
Zebra finch,Taeniopygia guttata,,Zebra finch,59729,taeGut1
Zebra finch,Taeniopygia guttata,,Zebra finch,59729,taeGut2
Tarsier,Tarsius syrichta,,Tarsier,9478,tarSyr1
Tarsier,Tarsius syrichta,,Tarsier,9478,tarSyr2
Tetraodon,Tetraodon nigroviridis,,Tetraodon,99883,tetNig1
Tetraodon,Tetraodon nigroviridis,,Tetraodon,99883,tetNig2
Garter snake,Thamnophis sirtalis,,Garter snake,35019,thaSir1
Manatee,Trichechus manatus latirostris,,Manatee,127582,triMan1
Tree shrew,Tupaia belangeri,,Tree shrew,37347,tupBel1
Dolphin,Tursiops truncatus,,Dolphin,9739,turTru2
Alpaca,Vicugna pacos,,Alpaca,30538,vicPac1
Alpaca,Vicugna pacos,,Alpaca,30538,vicPac2
SARS-CoV-2,SARS-CoV-2,,SARS-CoV-2,2697049,wuhCor1
African clawed frog,Xenopus laevis,,African clawed frog,8355,xenLae2
X. tropicalis,Xenopus tropicalis,,X. tropicalis,8364,xenTro1
X. tropicalis,Xenopus tropicalis,,X. tropicalis,8364,xenTro10
X. tropicalis,Xenopus tropicalis,,X. tropicalis,8364,xenTro2
X. tropicalis,Xenopus tropicalis,,X. tropicalis,8364,xenTro3
X. tropicalis,Xenopus tropicalis,,X. tropicalis,8364,xenTro7
X. tropicalis,Xenopus tropicalis,,X. tropicalis,8364,xenTro9
