,concatenated_coordinates_snap_cds_concat_indexing,coordinate_type_gene_adjusted_python,coordinate_type_gff,coordinate_type_gff_adjusted_python,coordinate_type_gff_gene_adjusted
cds_63,"(9629, 9834)","(55771, 55976)","(2141605, 2141810)","(2141604, 2141809)","(55772, 55977)"
cds_64,"(9835, 10018)","(56330, 56513)","(2142164, 2142347)","(2142163, 2142346)","(56331, 56514)"
cds_65,"(10019, 10256)","(57061, 57298)","(2142895, 2143132)","(2142894, 2143131)","(57062, 57299)"
cds_66,"(10257, 10390)","(57475, 57608)","(2143309, 2143442)","(2143308, 2143441)","(57476, 57609)"
cds_67,"(10391, 10617)","(57953, 58179)","(2143787, 2144013)","(2143786, 2144012)","(57954, 58180)"
cds_0_length,156,156,156,156,156
cds_1_length,117,117,117,117,117
cds_2_length,195,195,195,195,195
cds_3_length,149,149,149,149,149
cds_4_length,212,212,212,212,212
cds_5_length,164,164,164,164,164
cds_6_length,206,206,206,206,206
cds_7_length,139,139,139,139,139
cds_8_length,108,108,108,108,108
cds_9_length,111,111,111,111,111
cds_10_length,126,126,126,126,126
cds_11_length,68,68,68,68,68
cds_12_length,172,172,172,172,172
cds_13_length,157,157,157,157,157
cds_14_length,104,104,104,104,104
cds_15_length,156,156,156,156,156
cds_16_length,144,144,144,144,144
cds_17_length,135,135,135,135,135
cds_18_length,120,120,120,120,120
cds_19_length,164,164,164,164,164
cds_20_length,124,124,124,124,124
cds_21_length,99,99,99,99,99
cds_22_length,110,110,110,110,110
cds_23_length,142,142,142,142,142
cds_24_length,214,214,214,214,214
cds_25_length,246,246,246,246,246
cds_26_length,167,167,167,167,167
cds_27_length,108,108,108,108,108
cds_28_length,138,138,138,138,138
cds_29_length,213,213,213,213,213
cds_30_length,143,143,143,143,143
cds_31_length,190,190,190,190,190
cds_32_length,225,225,225,225,225
cds_33_length,134,134,134,134,134
cds_34_length,143,143,143,143,143
cds_35_length,185,185,185,185,185
cds_36_length,172,172,172,172,172
cds_37_length,119,119,119,119,119
cds_38_length,127,127,127,127,127
cds_39_length,89,89,89,89,89
cds_40_length,150,150,150,150,150
cds_41_length,83,83,83,83,83
cds_42_length,123,123,123,123,123
cds_43_length,131,131,131,131,131
cds_44_length,126,126,126,126,126
cds_45_length,188,188,188,188,188
cds_46_length,188,188,188,188,188
cds_47_length,153,153,153,153,153
cds_48_length,133,133,133,133,133
cds_49_length,198,198,198,198,198
cds_50_length,147,147,147,147,147
cds_51_length,183,183,183,183,183
cds_52_length,183,183,183,183,183
cds_53_length,200,200,200,200,200
cds_54_length,151,151,151,151,151
cds_55_length,105,105,105,105,105
cds_56_length,171,171,171,171,171
cds_57_length,202,202,202,202,202
cds_58_length,224,224,224,224,224
cds_59_length,159,159,159,159,159
cds_60_length,171,171,171,171,171
cds_61_length,112,112,112,112,112
cds_62_length,156,156,156,156,156
cds_63_length,206,206,206,206,206
cds_64_length,184,184,184,184,184
cds_65_length,238,238,238,238,238
cds_66_length,134,134,134,134,134
cds_67_length,227,227,227,227,227
